version,reusability,flexibility,understandability,functionality,extendibility,effectiveness,tqi
v4.0.4,1.0000000000,1.0000000000,-0.9900000000,1.0000000000,1.0000000000,1.0000000000,4.0100000000
v4.1.0,1.0063035955,1.0029312091,-1.0015349514,1.0031945709,0.9926785503,0.9998372963,4.0034102707
v4.1.4,1.0057799496,1.0024075633,-1.0039763167,1.0031945709,0.9916312585,0.9998372963,3.9988743219
v4.2.0,1.0318947516,1.0207519450,-1.0268374556,1.0152167253,0.9768054834,1.0032645646,4.0210960144
v4.3.0,1.0654671378,1.0457957500,-1.0593572602,1.0293072590,0.9684341140,1.0096106931,4.0592576937
v4.3.2,1.0704505273,1.0466302219,-1.0611198403,1.0314373855,0.9775347776,1.0130968632,4.0780299352
v4.4.0,1.0802806105,1.0564464722,-1.0909691398,1.0346187241,0.9863737190,1.0195127352,4.0862631213
v4.5.2,1.0808544985,1.0552313131,-1.0937738795,1.0353941334,0.9839434008,1.0195127352,4.0811622016
v4.6.3,1.0926814156,1.0911499102,-1.1418706530,1.0402853076,0.9688249895,1.0292942592,4.0803652291
v4.7.7,1.1131901384,1.1053592623,-1.1579652160,1.0498421520,0.9578146674,1.0331892962,4.1014303002
