rank,class,wmc,rfc,lcom,cbo,dit,risk_score
1,picocli.CommandLine,362,338,17878,66,76,0.8934219933134545
2,picocli.CommandLine$Model$CommandSpec,388,324,10708,50,1,0.6736355280880129
3,picocli.CommandLine$Interpreter,527,375,2032,70,1,0.6397807361002349
4,picocli.CommandLine$Help,207,245,2635,40,2,0.3668307103476447
5,picocli.CommandLine$Model$ArgSpec,184,109,2090,31,1,0.25276464214301175
6,picocli.CommandLine$Model$UsageMessageSpec,206,111,2809,14,1,0.2419151292982396
7,picocli.CommandLine$Model$ArgGroupSpec,137,114,741,34,1,0.21315431141663727
8,picocli.AutoComplete,156,132,778,24,1,0.21106337667509473
9,picocli.CommandLine$Model$CommandReflection,101,135,153,35,1,0.19790801496034793
10,picocli.CommandLine$Model$ArgSpec$Builder,97,81,2215,27,1,0.19043567472812248
11,picocli.CommandLine$Model$TypedMember,82,77,592,30,1,0.15584147496571568
12,picocli.CommandLine$ParseResult$GroupMatchContainer,104,88,25,14,1,0.12675862505863233
13,picocli.CommandLine$Range,101,45,278,8,1,0.09449801384165459
14,picocli.CommandLine$Help$TextTable,68,50,172,10,1,0.08372056964347362
15,picocli.CommandLine$ParseResult,48,38,528,11,1,0.07694522042327932
16,picocli.CommandLine$ParseResult$Builder,43,44,103,13,1,0.07373873628972644
17,picocli.CommandLine$ParseResult$GroupMatch,53,56,74,8,1,0.07360054670919824
18,picocli.CommandLine$Help$Ansi$Text,56,45,59,9,1,0.07100623008189812
19,picocli.CommandLine$Model$RuntimeTypeInfo,69,41,0,7,1,0.06959911448450348
20,picocli.CommandLine$Help$ColorScheme,45,43,90,9,1,0.06532823824758134
