version,design_size,hierarchies,abstraction,encapsulation,coupling,cohesion,composition,inheritance,polymorphism,messaging,complexity
v4.0.4,192.0000000000,0.0000000000,1.8125000000,0.7739130435,4.9218750000,0.0062973531,460.0000000000,1.8125000000,0.0000000000,960.0000000000,17.4947916667
v4.1.0,194.0000000000,0.0000000000,1.8041237113,0.7737068966,4.9484536082,0.0061883952,464.0000000000,1.8041237113,0.0000000000,973.0000000000,17.6030927835
v4.1.4,194.0000000000,0.0000000000,1.8041237113,0.7737068966,4.9587628866,0.0061883952,464.0000000000,1.8041237113,0.0000000000,973.0000000000,17.6958762887
v4.2.0,199.0000000000,0.0000000000,1.7839195980,0.7722567288,4.9949748744,0.0060135380,483.0000000000,1.7839195980,0.0000000000,1015.0000000000,18.0000000000
v4.3.0,206.0000000000,0.0000000000,1.7669902913,0.7742574257,4.9854368932,0.0057187274,505.0000000000,1.7669902913,0.0000000000,1066.0000000000,18.5097087379
v4.3.2,207.0000000000,0.0000000000,1.7826086957,0.7727272727,4.9806763285,0.0057463287,506.0000000000,1.7826086957,0.0000000000,1068.0000000000,18.4202898551
v4.4.0,209.0000000000,0.0000000000,1.7942583732,0.7758284600,4.9569377990,0.0053600739,513.0000000000,1.7942583732,0.0000000000,1104.0000000000,18.7894736842
v4.5.2,209.0000000000,0.0000000000,1.7942583732,0.7758284600,4.9808612440,0.0053526610,513.0000000000,1.7942583732,0.0000000000,1108.0000000000,18.8325358852
v4.6.3,215.0000000000,0.0000000000,1.7720930233,0.7737226277,5.0093023256,0.0047554799,548.0000000000,1.7720930233,0.0000000000,1149.0000000000,19.2418604651
v4.7.7,219.0000000000,0.0000000000,1.7579908676,0.7789661319,5.0410958904,0.0046436674,561.0000000000,1.7579908676,0.0000000000,1180.0000000000,19.5616438356
