file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\leven\OneDrive\Desktop\qmood-picocli\versions\v4.7.7\src\main\java\picocli\CommandLine.java,picocli.CommandLine$OverwrittenOptionException,"OverwrittenOptionException/3[picocli.CommandLine,picocli.CommandLine.Model.ArgSpec,java.lang.String]",true,18870,2,1,1,0,1,0,4,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,false
C:\Users\leven\OneDrive\Desktop\qmood-picocli\versions\v4.7.7\src\main\java\picocli\CommandLine.java,picocli.CommandLine$OverwrittenOptionException,getOverwritten/0,false,18876,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,true
C:\Users\leven\OneDrive\Desktop\qmood-picocli\versions\v4.7.7\src\main\java\picocli\CommandLine.java,picocli.CommandLine$Help$Layout,textTable/0,false,17089,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,true
C:\Users\leven\OneDrive\Desktop\qmood-picocli\versions\v4.7.7\src\main\java\picocli\CommandLine.java,picocli.CommandLine$Help$Layout,"addPositionalParameters/2[java.util.List<picocli.CommandLine.Model.PositionalParamSpec>,picocli.CommandLine.Help.IParamLabelRenderer]",false,17056,4,3,1,2,3,2,7,0,0,2,2,1,2,1,0,0,0,0,0,0,0,2,0,0,0,25,1,0,true
C:\Users\leven\OneDrive\Desktop\qmood-picocli\versions\v4.7.7\src\main\java\picocli\CommandLine.java,picocli.CommandLine$Help$Layout,"addAllOptions/2[java.util.List<picocli.CommandLine.Model.OptionSpec>,picocli.CommandLine.Help.IParamLabelRenderer]",false,17038,3,2,1,1,2,1,5,0,0,2,1,1,2,1,0,0,0,0,0,0,0,1,0,0,0,34,1,0,true
C:\Users\leven\OneDrive\Desktop\qmood-picocli\versions\v4.7.7\src\main\java\picocli\CommandLine.java,picocli.CommandLine$Help$Layout,toString/0,false,17083,1,5,4,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,true
C:\Users\leven\OneDrive\Desktop\qmood-picocli\versions\v4.7.7\src\main\java\picocli\CommandLine.java,picocli.CommandLine$Help$Layout,"addAllPositionalParameters/2[java.util.List<picocli.CommandLine.Model.PositionalParamSpec>,picocli.CommandLine.Help.IParamLabelRenderer]",false,17068,3,2,1,1,2,1,5,0,0,2,1,1,2,1,0,0,0,0,0,0,0,1,0,0,0,36,1,0,true
C:\Users\leven\OneDrive\Desktop\qmood-picocli\versions\v4.7.7\src\main\java\picocli\CommandLine.java,picocli.CommandLine$Help$Layout,colorScheme/0,false,17086,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,true
C:\Users\leven\OneDrive\Desktop\qmood-picocli\versions\v4.7.7\src\main\java\picocli\CommandLine.java,picocli.CommandLine$Help$Layout,"addOptions/2[java.util.List<picocli.CommandLine.Model.OptionSpec>,picocli.CommandLine.Help.IParamLabelRenderer]",false,17026,4,3,1,2,3,2,7,0,0,2,2,1,2,1,0,0,0,0,0,0,0,2,0,0,0,24,1,0,true
C:\Users\leven\OneDrive\Desktop\qmood-picocli\versions\v4.7.7\src\main\java\picocli\CommandLine.java,picocli.CommandLine$Help$Layout,"addOption/2[picocli.CommandLine.Model.OptionSpec,picocli.CommandLine.Help.IParamLabelRenderer]",false,17048,5,5,3,2,1,2,4,0,1,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,32,1,0,true
